Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
8.40 km/L,0.72 L/10km,0.98 L/10km
7.25 km per L,9.70 L/100km,11.96 L/100km
9.80 km/L,38.70 mpg Imp.,31.76 mpg Imp.
1.73 L/10km,11.70 liters per 100 km,14.78 liters per 100 km
8.10 L/100km,35.76 mpg Imp.,8.01 liters per 100 km
8.85 km per L,29.40 MPG (AS),9.81 L/100km
,8.10 liters per 100 km,32.87 mpg Imp.
19.60 MPG (AS),10.10 km/L,21.28 MPG (AS)
13.90 liters per 100 km,,
7.63 km per L,8.90 L/100 km,not-available
14.70 MPG (AS),8.47 km per L,1.41 L/10km
10.87 km per L,26.73 MPG (AS),11.09 km per L
8.62 km per L,35.31 mpg Imp.,9.98 L/100 km
12.30 L/100km,0.94 L/10km,21.39 MPG (AS)
9.50 L/100km,30.95 MPG (AS),8.64 L/100km
1.09 L/10km,32.47 mpg Imp.,10.09 km/L
25.92 mpg Imp.,0.87 L/10km,10.09 km per L
12.66 km per L,12.66 km/L,7.90 L/100 km
8.06 km/L,0.84 L/10km,26.65 mpg Imp.
15.90 L/100km,0.95 L/10km,13.02 liters per 100 km
25.22 mpg Imp.,7.10 L/100km,0.94 L/10km
,9.71 km per L,24.66 mpg Imp.
11.40 liters per 100 km,10.50 L/100 km,1.10 L/10km
19.90 liters per 100 km,10.99 km per L,18.78 mpg Imp.
56.00 MPG (AS),14.71 km/L,
5.65 km/L,1.16 L/10km,6.69 km per L
14.60 liters per 100 km,8.80 L/100km,19.62 MPG (AS)
5.52 km per L,11.00 L/100km,
12.05 km/L,14.71 km per L,7.62 L/100 km
16.23 mpg Imp.,28.25 mpg Imp.,14.07 L/100km
8.13 km/L,11.80 liters per 100 km,12.07 L/100km
9.10 L/100 km,11.49 km/L,0.89 L/10km
27.35 MPG (AS),0.76 L/10km,
4.95 km/L,,1.84 L/10km
14.30 L/100 km,9.50 liters per 100 km,1.21 L/10km
14.00 L/100 km,7.30 L/100 km,10.98 liters per 100 km
0.95 L/10km,0.79 L/10km,11.39 km per L
54.70 MPG (AS),7.40 L/100km,41.30 MPG (AS)
8.80 liters per 100 km,37.94 MPG (AS),0.76 L/10km
56.00 MPG (AS),0.71 L/10km,18.17 km per L
13.90 L/100 km,10.40 L/100km,12.32 liters per 100 km
not-available,0.82 L/10km,9.74 liters per 100 km
9.71 km/L,0.81 L/10km,9.31 liters per 100 km
